date,location,cases,deaths,recoveries
2020/04/03 21:40,India,2567,72,192
2020/04/03 22:00,India,2567,72,192
2020/04/03 22:20,India,2567,72,192
2020/04/03 22:40,India,2567,72,192
2020/04/03 23:00,India,2567,72,192
2020/04/03 23:20,India,2567,72,192
2020/04/04 11:40,India,3082,86,229
2020/04/04 12:00,India,3082,86,229
2020/04/04 12:20,India,3082,86,229
2020/04/04 12:40,India,3082,86,229
2020/04/04 13:00,India,3082,86,229
2020/04/04 13:20,India,3082,86,229
2020/04/04 13:40,India,3082,86,229
2020/04/04 14:00,India,3082,86,229
2020/04/04 14:20,India,3082,86,229
2020/04/04 14:40,India,3082,86,229
2020/04/04 15:00,India,3082,86,229
2020/04/04 15:20,India,3082,86,229
2020/04/04 15:40,India,3082,86,229
2020/04/04 16:00,India,3082,86,229
2020/04/04 16:20,India,3082,86,229
2020/04/04 16:40,India,3082,86,229
2020/04/04 17:00,India,3082,86,229
2020/04/04 17:20,India,3082,86,229
2020/04/04 17:40,India,3082,86,229
2020/04/04 18:00,India,3082,86,229
2020/04/04 18:20,India,3082,86,229
2020/04/04 18:40,India,3082,86,229
2020/04/04 19:00,India,3082,86,229
2020/04/04 19:20,India,3082,86,229
2020/04/04 19:40,India,3082,86,229
2020/04/04 20:00,India,3082,86,229
2020/04/04 20:20,India,3082,86,229
2020/04/04 20:40,India,3082,86,229
2020/04/04 21:00,India,3588,86,229
2020/04/04 21:20,India,3588,86,229
2020/04/04 21:40,India,3588,86,229
2020/04/04 22:00,India,3588,99,229
2020/04/04 22:20,India,3588,99,229
2020/04/04 22:40,India,3588,99,229
2020/04/04 23:00,India,3588,99,229
2020/04/04 23:20,India,3588,99,229
2020/04/04 23:40,India,3588,99,229
2020/04/05 00:00,India,3588,99,229
2020/04/05 00:20,India,3588,99,229
2020/04/05 00:40,India,3588,99,229
2020/04/05 01:00,India,3588,99,229
2020/04/05 01:20,India,3588,99,229
2020/04/05 01:40,India,3588,99,229
2020/04/05 02:00,India,3588,99,229
2020/04/05 02:20,India,3588,99,229
2020/04/05 02:40,India,3588,99,229
2020/04/05 03:00,India,3588,99,229
2020/04/05 03:20,India,3588,99,229
2020/04/05 03:40,India,3588,99,229
2020/04/05 04:00,India,3588,99,229
2020/04/05 04:20,India,3588,99,229
2020/04/05 04:40,India,3588,99,229
2020/04/05 05:00,India,3588,99,229
2020/04/05 05:20,India,3588,99,229
2020/04/05 05:40,India,3588,99,229
2020/04/05 06:00,India,3588,99,229
2020/04/05 06:20,India,3588,99,229
2020/04/05 06:40,India,3588,99,229
2020/04/05 07:00,India,3588,99,229
2020/04/05 07:20,India,3588,99,229
2020/04/05 07:40,India,3588,99,229
2020/04/05 08:00,India,3588,99,229
2020/04/05 08:20,India,3588,99,229
2020/04/05 08:40,India,3588,99,229
2020/04/05 09:00,India,3588,99,229
2020/04/05 09:20,India,3588,99,229
2020/04/05 09:40,India,3588,99,229
2020/04/05 10:00,India,3588,99,229
2020/04/05 10:20,India,3588,99,229
2020/04/05 10:40,India,3588,99,229
2020/04/05 11:00,India,3588,99,229
2020/04/05 11:20,India,3588,99,229
2020/04/05 11:40,India,3588,99,229
2020/04/05 12:00,India,3588,99,229
2020/04/05 12:20,India,3588,99,229
2020/04/05 13:04,India,3588,99,229
2020/04/05 13:20,India,3588,99,229
2020/04/05 13:40,India,3588,99,229
2020/04/05 14:00,India,3588,99,229
2020/04/05 14:20,India,3588,99,229
2020/04/05 14:40,India,3588,99,229
2020/04/05 15:00,India,3588,99,229
2020/04/05 15:20,India,3588,99,229
2020/04/05 15:40,India,3588,99,229
2020/04/05 16:00,India,3588,99,229
2020/04/05 16:20,India,3588,99,229
2020/04/05 16:40,India,3588,99,229
2020/04/05 17:00,India,3588,99,229
2020/04/05 17:20,India,3588,99,229
2020/04/05 17:40,India,3588,99,229
2020/04/05 18:00,India,3588,99,229
2020/04/05 18:20,India,3588,99,229
2020/04/05 18:40,India,3588,99,229
2020/04/05 19:00,India,3588,99,229
2020/04/05 19:20,India,3588,99,229
2020/04/05 19:40,India,3588,99,229
2020/04/05 20:00,India,3588,99,229
2020/04/05 20:20,India,3588,99,229
2020/04/05 20:40,India,4288,117,328
2020/04/05 21:00,India,4288,117,328
2020/04/05 21:20,India,4288,117,328
2020/04/05 21:40,India,4288,117,328
2020/04/05 22:00,India,4288,117,328
2020/04/05 22:20,India,4288,117,328
2020/04/05 22:40,India,4288,117,328
2020/04/05 23:00,India,4288,117,328
2020/04/05 23:20,India,4288,117,328
2020/04/05 23:40,India,4288,117,328
2020/04/06 00:00,India,4288,117,328
2020/04/06 00:20,India,4288,117,328
2020/04/06 00:40,India,4288,117,328
2020/04/06 01:00,India,4289,118,328
2020/04/06 01:20,India,4289,118,328
2020/04/06 01:40,India,4289,118,328
2020/04/06 02:00,India,4298,118,328
2020/04/06 02:20,India,4298,118,328
2020/04/06 02:40,India,4298,118,328
2020/04/06 03:00,India,4314,118,328
2020/04/06 03:20,India,4314,118,328
2020/04/06 03:40,India,4314,118,328
2020/04/06 04:00,India,4314,118,328
2020/04/06 04:20,India,4314,118,328
2020/04/06 04:40,India,4314,118,328
2020/04/06 05:00,India,4314,118,328
2020/04/06 05:20,India,4314,118,328
2020/04/06 05:40,India,4314,118,328
2020/04/06 06:00,India,4314,118,328
2020/04/06 06:20,India,4314,118,328
2020/04/06 06:40,India,4314,118,328
2020/04/06 07:00,India,4314,118,328
2020/04/06 07:20,India,4314,118,328
2020/04/06 07:40,India,4314,118,328
2020/04/06 08:00,India,4314,118,328
2020/04/06 08:20,India,4314,118,328
2020/04/06 08:40,India,4314,118,328
2020/04/06 09:00,India,4314,118,328
2020/04/06 09:20,India,4314,118,328
2020/04/06 09:40,India,4314,118,328
2020/04/06 10:00,India,4314,118,328
2020/04/06 10:20,India,4314,118,328
2020/04/06 10:40,India,4314,118,328
2020/04/06 11:00,India,4553,118,328
